price,arrivals,sowing,rainfall,buffer_stock,,,,
115.41,157,138.39,0.69,4176,,,,
81.98,247,154.36,0.69,4170,,,,
77.24,416,190.65,4.44,4165,,,,
94.47,482,162.42,5.12,4159,,,,
119.28,460,111.69,4.96,4154,,,,
82.1,100,193.98,-0.9,4148,,,,
103.61,486,162.77,8.53,4143,,,,
108.08,447,133.49,1.19,4137,,,,
81.88,289,113.93,-0.45,4132,,,,
106.41,290,179.4,8.66,4126,,,,
88.39,468,162.01,9.47,4121,,,,
101.62,411,153.35,8.35,4115,,,,
101.68,216,189.39,7.71,4110,,,,
96.79,233,178.86,5.86,4104,,,,
74.51,157,115.17,4.61,4099,,,,
111.77,143,131.17,-0.96,4093,,,,
86.04,272,124.85,2.9,4088,,,,
79.33,259,174.39,2.47,4082,,,,
72.04,272,103.35,1.12,4077,,,,
99.54,416,156.99,6.68,4071,,,,
103.88,402,176.25,3.95,4066,,,,
70.83,248,187.68,-1.03,4060,,,,
95.6,179,134.21,0.64,4055,,,,
81.32,473,182.13,6.2,4049,,,,
102.26,312,111.06,-1.09,4044,,,,
78.72,302,184.65,8.21,4038,,,,
104.55,351,112.75,3.94,4033,,,,
89.34,328,139.73,3.77,4027,,,,
116.84,263,179.73,5.11,4022,,,,
76.88,326,114.99,7.9,4016,,,,
87.05,246,122.93,2.17,4011,,,,
75.67,119,172.23,6.14,4005,,,,
116.23,146,172,4.79,4000,,,,
113.87,332,164.11,1.2,3995,,,,
82.9,404,169.39,8.54,3989,,,,
103,113,154.27,7.57,3984,,,,
110.86,242,125.18,5.9,3978,,,,
97.76,100,134.57,8.21,3973,,,,
96.48,472,118.16,8.41,3967,,,,
82.09,153,190.85,6.5,3962,,,,
74.66,473,158.34,8.04,3956,,,,
114.86,358,140.09,6.37,3951,,,,
115.02,243,146.2,6.16,3945,,,,
101.66,111,194.73,5.42,3940,,,,
86.95,429,115.34,7.03,3934,,,,
87.46,323,158.62,-0.1,3929,,,,
106.3,371,150.59,8.57,3923,,,,
114.86,457,161.15,8.46,3918,,,,
114.35,255,101.81,-1.65,3912,,,,
108.99,472,187.21,7.91,3907,,,,
102.1,107,193.21,-0.45,3901,,,,
74.21,221,156.51,2.02,3896,,,,
78.08,447,169.67,6.92,3890,,,,
114.93,263,192.25,-0.07,3885,,,,
100.32,189,170.72,7.82,3879,,,,
70.46,235,115.25,7.99,3874,,,,
75.07,285,157.63,4.09,3868,,,,
103.18,415,160.67,-1.92,3863,,,,
70.25,277,142.41,1.44,3857,,,,
78.04,127,173.64,5.4,3852,,,,
97.44,319,193.44,9.77,3846,,,,
104.59,456,192.56,5.58,3841,,,,
102.6,140,145.08,1.12,3835,,,,
81.21,327,111.32,5.61,3830,,,,
105.61,291,198.48,4.48,3824,,,,
81.86,244,183.89,7.36,3819,,,,
86.27,300,112.47,-0.72,3813,,,,
107.32,311,192.08,7.13,3808,,,,
102.48,319,186.99,4.5,3802,,,,
112.46,339,151.88,9.56,3797,,,,
102.88,496,159.13,2.1,3791,,,,
98.42,145,139.9,5.59,3786,,,,
74.68,134,105.48,9.18,3780,,,,
88.39,352,133.52,-0.77,3775,,,,
83.26,489,180.29,9.25,3769,,,,
82.2,181,100.46,6.25,3764,,,,
118.65,470,133.35,-1.19,3758,,,,
89.65,355,139.82,1.61,3753,,,,
114.6,296,153.74,6.5,3747,,,,
101.56,402,191.99,-1.19,3742,,,,
109.74,109,134.63,4.99,3736,,,,
95.13,411,134.7,2.15,3731,,,,
98.85,385,173.75,5.45,3725,,,,
94.63,341,145.22,-1.45,3720,,,,
79.76,350,122.46,8.46,3714,,,,
106.12,464,145.24,9.68,3709,,,,
84.04,104,114.09,9.63,3703,,,,
71.22,218,117.64,7,3698,,,,
102.27,388,149.84,-0.44,3692,,,,
78.86,473,141.89,7.1,3687,,,,
117.02,164,191.48,-1.7,3681,,,,
117.7,245,136.24,-1.73,3676,,,,
115.74,323,158.06,1.88,3670,,,,
88.51,338,163.23,3.86,3665,,,,
70.77,276,101.31,7.24,3659,,,,
116.42,366,166.35,6.2,3654,,,,
91.41,440,117.8,3.35,3648,,,,
118.33,381,196.11,1.28,3643,,,,
118.18,162,114.87,9.97,3637,,,,
112.65,316,141.46,3.11,3632,,,,
84.72,441,108.53,3.42,3626,,,,
89.25,414,199.69,-0.04,3621,,,,
112.56,382,150.22,7.54,3615,,,,
85.85,276,159.54,6.32,3610,,,,
78.47,197,106.71,0.65,3604,,,,
97.84,204,175,-1.01,3599,,,,
116.81,198,120.99,6.17,3593,,,,
104.8,484,189.81,5.85,3588,,,,
98.5,410,120.51,1.28,3582,,,,
74.86,105,119.07,9.41,3577,,,,
100.75,296,103.65,-0.19,3571,,,,
119.5,450,147.21,3.19,3566,,,,
77,232,156.48,9.32,3560,,,,
95.92,457,106.57,3.04,3555,,,,
113.87,358,177.55,5.66,3549,,,,
107.04,122,145.33,2.77,3544,,,,
104.85,152,152.44,1.29,3538,,,,
105.12,264,144.08,9.81,3533,,,,
87.97,301,140.08,2.91,3527,,,,
84.68,182,155.96,8.73,3522,,,,
110.47,244,115.52,0.76,3516,,,,
110.51,184,118.19,0.56,3511,,,,
113.35,177,186.18,-1.63,3505,,,,
115.66,465,194.61,5.82,3500,,,,
95.57,100,137.33,2.42,3495,,,,
95.08,150,127.07,8.37,3489,,,,
109.91,272,164.4,3.68,3484,,,,
102.5,304,140.87,9.62,3478,,,,
105.1,359,102.54,0.23,3473,,,,
109.79,468,115.62,8.42,3467,,,,
114.5,387,171.6,7.32,3462,,,,
86.9,133,165.89,7.25,3456,,,,
88.78,447,102.71,8.14,3451,,,,
74.7,194,122.2,7.13,3445,,,,
98.91,171,123.11,5.51,3440,,,,
71.8,138,167.19,-0.43,3434,,,,
93.28,253,101.97,-1.61,3429,,,,
97.13,349,110.41,9.05,3423,,,,
84.33,261,179.99,5.4,3418,,,,
99.54,217,117.85,7.56,3412,,,,
71.53,358,165.27,3.78,3407,,,,
71.87,478,123.82,-0.59,3401,,,,
111.13,405,109.94,-0.5,3396,,,,
88.01,367,124.32,6.23,3390,,,,
76.35,153,172.23,3.16,3385,,,,
96.11,335,185.57,0.41,3379,,,,
108.5,488,183.02,3.9,3374,,,,
80.79,321,139.72,-1.23,3368,,,,
101.14,350,166.81,4.98,3363,,,,
74.27,412,120.5,1.23,3357,,,,
72.58,211,129.31,7.57,3352,,,,
96.57,354,189.63,1.72,3346,,,,
97.03,402,101.3,3.46,3341,,,,
101.87,306,108.55,-1.86,3335,,,,
106.3,328,120.79,-1.13,3330,,,,
118.79,440,102.65,2.71,3324,,,,
95.82,497,118.14,3.76,3319,,,,
86.15,165,158.3,5.2,3313,,,,
109.76,174,142.14,1.5,3308,,,,
83.54,202,189.27,6.34,3302,,,,
91.95,291,181.74,8.32,3297,,,,
73.92,351,134.18,7.36,3291,,,,
71.27,325,125.94,-1.52,3286,,,,
118.13,393,137.97,3.77,3280,,,,
111.8,405,159.03,-0.74,3275,,,,
104.8,197,126.81,0.9,3269,,,,
90.45,437,162.41,9.84,3264,,,,
78.66,385,140.94,-0.29,3258,,,,
77.82,434,155.2,3.99,3253,,,,
82.51,446,143.61,5.42,3247,,,,
97.46,407,129.45,6.43,3242,,,,
105.73,348,194.85,4.72,3236,,,,
103.01,265,176.36,-1.88,3231,,,,
84,434,114.01,1.92,3225,,,,
117.74,129,186.85,4.21,3220,,,,
106.89,346,148.74,-0.95,3214,,,,
97.72,205,189.46,2.21,3209,,,,
100.59,150,179.99,-1.6,3203,,,,
90.98,180,142.52,-1.06,3198,,,,
82.39,232,102.25,2.76,3192,,,,
87.8,384,126.87,-0.41,3187,,,,
107.89,487,154.16,4.81,3181,,,,
70.72,237,163.35,6.27,3176,,,,
75.8,283,125.79,7.61,3170,,,,
72.3,429,113.94,0.4,3165,,,,
72.04,372,183.49,0.01,3159,,,,
112.77,439,198.44,-0.75,3154,,,,
105.18,168,152.57,5.64,3148,,,,
93.71,133,117.17,6.48,3143,,,,
74.89,361,127.23,-1.62,3137,,,,
94.58,152,101.84,9.23,3132,,,,
93.67,304,191.43,-1.38,3126,,,,
78.66,225,111.78,4.5,3121,,,,
91.69,334,157.65,6.51,3115,,,,
89.93,142,127.41,8.45,3110,,,,
100.79,339,155.42,6.57,3104,,,,
101.75,470,165.14,7.62,3099,,,,
72.27,210,182.97,2.07,3093,,,,
88.73,348,120.64,7.78,3088,,,,
101.29,250,101.1,-1.04,3082,,,,
95.16,282,113.69,8.74,3077,,,,
112.82,435,190,4.57,3071,,,,
102.93,194,187.39,7.81,3066,,,,
78.15,473,159.74,3.43,3060,,,,
73.53,499,160.05,5.72,3055,,,,
102.12,107,166.5,4.32,3049,,,,
71.33,487,117.54,6.78,3044,,,,
99.29,459,191.44,-1.02,3038,,,,
117.01,487,141.88,-1.28,3033,,,,
98.77,283,138.31,0.97,3027,,,,
89.41,380,151.89,-0.09,3022,,,,
102.16,294,104.7,8.46,3016,,,,
92.91,451,116.63,0.63,3011,,,,
97.28,294,173.8,9.71,3005,,,,
117.07,254,108.28,2.04,3000,,,,

